Strategy,Iteration,Horizon,TargetBps,EntryThreshold,ExitThreshold,TrendMin,StopLossPct,TrailingStopPct,TakeProfitPct,MaxHoldBars,AvgReturnPct,MinReturnPct,MaxDrawdownPct,AvgSharpe,PositiveAssetCount,ObjectiveScore,MeetsStoppingConditions,AMD_ReturnPct,AMD_MaxDrawdownPct,AMD_Sharpe,AMD_Trades,AMZN_ReturnPct,AMZN_MaxDrawdownPct,AMZN_Sharpe,AMZN_Trades,GOOGL_ReturnPct,GOOGL_MaxDrawdownPct,GOOGL_Sharpe,GOOGL_Trades,NVDA_ReturnPct,NVDA_MaxDrawdownPct,NVDA_Sharpe,NVDA_Trades,AAPL_ReturnPct,AAPL_MaxDrawdownPct,AAPL_Sharpe,AAPL_Trades,META_ReturnPct,META_MaxDrawdownPct,META_Sharpe,META_Trades,TSLA_ReturnPct,TSLA_MaxDrawdownPct,TSLA_Sharpe,TSLA_Trades,NFLX_ReturnPct,NFLX_MaxDrawdownPct,NFLX_Sharpe,NFLX_Trades
per_asset_arx_v022_h5_e50,22,5,50.0,0.5,0.38,2.0,,,,,-2.1185,-22.8915,28.5269,-0.893714,1,-125.269654,False,80.1684,28.5269,2.48052,2.0,-22.8915,27.282,-2.576833,7.0,-3.9675,15.9237,-0.213293,7.0,-4.1188,19.243,-0.260921,3.0,-19.3016,19.4674,-2.909566,5.0,-18.8069,26.2394,-1.308623,5.0,-21.0776,23.3416,-1.705204,7.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v023_h7_e50,23,7,50.0,0.5,0.33999999999999997,2.0,,,,,-0.9289,-22.8915,28.5269,-0.783652,1,-123.859941,False,80.1684,28.5269,2.48052,2.0,-22.8915,27.282,-2.576833,7.0,-0.0638,15.9237,0.125064,6.0,-4.6714,19.243,-0.312299,3.0,-18.6116,18.7788,-2.807084,5.0,-21.21,27.2266,-1.524178,6.0,-12.8872,19.0667,-0.963427,6.0,-7.2644,17.0129,-0.690978,3.0
per_asset_arx_v024_h10_e50,24,10,50.0,0.5,0.33999999999999997,2.0,,,,,-0.7324,-29.7057,34.2407,-0.7255,3,-134.316875,False,83.8889,34.2407,2.426937,2.0,-24.675,26.3237,-3.024363,6.0,5.8791,10.9239,0.619047,5.0,1.2723,16.6733,0.229512,3.0,-9.5776,12.9169,-1.177075,7.0,-22.2842,29.4689,-1.594328,5.0,-29.7057,31.7223,-2.241304,9.0,-10.6568,20.0487,-1.042428,4.0
per_asset_arx_v025_h15_e50,25,15,75.0,0.5,0.33999999999999997,2.0,,,,,3.8903,-20.6425,34.2407,-0.14872,3,-110.414227,False,75.1436,34.2407,2.314001,2.0,-12.5054,16.1243,-1.335837,5.0,11.8333,10.1673,1.06108,4.0,1.5328,16.6733,0.250464,3.0,-0.9942,12.9169,-0.031431,4.0,-15.9807,22.3967,-1.11176,7.0,-20.6425,22.919,-1.645297,7.0,-7.2644,17.0129,-0.690978,3.0
per_asset_arx_v026_h3_e54,26,3,75.0,0.54,0.38,2.0,,,,,-4.1771,-21.9521,34.2407,-0.661552,2,-132.126505,False,31.5032,34.2407,1.476935,2.0,-21.9521,24.4109,-2.688637,6.0,3.6541,10.9239,0.456087,5.0,-4.1188,19.243,-0.260921,3.0,-14.0325,17.1575,-2.14292,4.0,-16.7017,22.0986,-1.173984,5.0,-4.5046,19.3295,-0.268002,5.0,-7.2644,17.0129,-0.690978,3.0
per_asset_arx_v027_h5_e54,27,5,75.0,0.54,0.38,2.0,,,,,-1.0937,-19.2245,34.2407,-0.700197,2,-123.665231,False,65.7651,34.2407,2.19327,2.0,-19.2245,23.8237,-2.15849,6.0,2.7087,10.9239,0.378996,6.0,-7.7187,15.1551,-0.735816,4.0,-18.4979,19.7236,-2.81061,5.0,-14.7345,20.7093,-1.063593,5.0,-10.0954,18.5218,-0.749535,6.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v028_h7_e54,28,7,125.0,0.54,0.38,2.0,,,,,-1.2425,-16.9951,34.2407,-0.666913,1,-129.288625,False,65.7651,34.2407,2.19327,2.0,-13.1448,17.8277,-1.632993,5.0,-0.4887,10.9239,0.075786,6.0,-10.8407,19.243,-0.834345,4.0,-14.9718,15.6574,-2.365043,6.0,-16.9951,23.4222,-1.174361,5.0,-12.3113,20.53,-0.941819,6.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v029_h10_e54,29,10,125.0,0.54,0.38,2.0,,,,,1.002,-22.3107,34.2407,-0.431465,2,-127.204417,False,65.7651,34.2407,2.19327,2.0,-7.2382,14.5097,-1.128938,4.0,-0.918,10.9239,0.032044,6.0,1.5322,13.0695,0.250867,1.0,-11.0318,12.9169,-1.642558,6.0,-10.5181,22.0083,-0.666299,6.0,-22.3107,24.5393,-1.799126,7.0,-7.2644,17.0129,-0.690978,3.0
per_asset_arx_v030_h15_e54,30,15,125.0,0.54,0.38,2.0,,,,,0.5447,-23.1002,34.2407,-0.427506,3,-119.232811,False,65.7651,34.2407,2.19327,2.0,-11.9946,12.1114,-1.379312,5.0,1.0941,10.0485,0.21925,5.0,-1.2968,16.6733,0.008983,2.0,4.2596,12.9169,0.605352,5.0,-23.1002,23.1002,-2.19838,6.0,-16.6901,19.08,-1.300435,7.0,-13.6795,17.0129,-1.568774,4.0
per_asset_arx_v031_h3_e57,31,3,0.0,0.58,0.41999999999999993,2.0,,,,,-4.5397,-21.4341,34.2407,-0.565358,2,-131.260729,False,9.4175,34.2407,0.680718,2.0,-6.5148,14.5205,-1.058865,4.0,5.4256,9.785,0.675937,6.0,-4.3456,19.365,-0.282148,3.0,-9.0734,9.0734,-1.655651,3.0,-21.4341,22.5583,-2.140652,4.0,-4.5046,19.3295,-0.268002,5.0,-5.2883,15.2445,-0.474203,1.0
per_asset_arx_v032_h5_e57,32,5,0.0,0.58,0.41999999999999993,2.0,0.06,,,,-7.5934,-21.631,29.7305,-1.061229,2,-122.169357,False,27.1538,29.7305,1.382796,5.0,-21.1843,25.6719,-2.360379,6.0,1.0937,9.9585,0.219163,5.0,-7.7187,15.1551,-0.735816,4.0,-12.1243,12.3162,-2.177267,4.0,-21.631,21.631,-2.187062,4.0,-21.0481,23.313,-2.157061,6.0,-5.2883,15.2445,-0.474203,1.0
per_asset_arx_v033_h7_e57,33,7,0.0,0.58,0.41999999999999993,2.0,0.06,,,,-1.2792,-24.0663,26.5996,-0.588246,2,-110.387104,False,56.1565,26.5996,2.086454,5.0,-4.9555,11.6572,-0.628648,3.0,1.4614,10.9239,0.254933,6.0,-5.4236,15.1551,-0.449096,4.0,-9.8429,12.4038,-1.615353,5.0,-16.6106,20.055,-1.209373,6.0,-24.0663,26.2446,-2.489087,7.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v034_h10_e57,34,10,25.0,0.58,0.49999999999999994,2.0,0.06,,,,-6.0719,-29.7967,31.8106,-1.078699,2,-143.254511,False,28.243,28.9845,1.380608,4.0,-14.014,16.2383,-2.046935,4.0,1.4614,10.9239,0.254933,6.0,-5.881,9.4242,-0.53759,2.0,-9.6171,12.3162,-1.542321,7.0,-1.7337,9.6274,-0.122773,6.0,-29.7967,31.8106,-3.584585,7.0,-17.2372,18.3536,-2.430931,4.0
